name,X,Y,Z,factor,weight,distance.Origin,angle.Factor,is.Factor,count,color,color1
kayla_itsines,-0.458821044,-0.970915204,-0.447133909,Factor3,12.67716135,1.163237644,30.72433249,0,250,#f6ebcf,0xf6ebcf
kensingtonroyal,-1.512732251,0.273171485,0.777581934,Factor3,12.4918096,1.722676751,62.29036225,0,201,#f6ebcf,0xf6ebcf
carrieunderwood,-2.796546919,-1.98481158,0.649180928,Factor3,14.35079803,3.49021311,16.66777289,0,203,#f6ebcf,0xf6ebcf
justintimberlake,-1.496067894,-0.125418307,0.956090024,Factor2,14.487944,1.779903657,34.21016095,0,404,#f6ebcf,0xf6ebcf
nationalparkservice,-0.631551017,0.517653688,-0.090621171,Factor6,11.27198992,0.821604665,97.27242798,0,123,#f6ebcf,0xf6ebcf
antoni,0.740412136,3.188563811,2.00631137,Factor9,18.54296589,3.839327366,4.472343813,0,163,#f6ebcf,0xf6ebcf
ashleygraham,0.900682442,-0.270431322,0.58442574,Factor1,12.08169877,1.107210642,15.59866936,0,147,#f6ebcf,0xf6ebcf
tanksgoodnews,-0.463585049,-0.338027226,-1.172365888,Factor4,12.2886331,1.305226141,26.94585408,0,137,#f6ebcf,0xf6ebcf
lizzobeeating,0.974109243,0.040489967,0.418468995,Factor9,13.00133122,1.060963975,63.38112985,0,286,#f6ebcf,0xf6ebcf
buzzfeed,-0.104444542,0.056886891,-1.182175802,Factor4,12.46735542,1.18814326,2.931905148,0,138,#f6ebcf,0xf6ebcf
msrachelhollis,-1.615461878,-2.013127549,0.520188646,Factor3,13.75887522,2.633058266,6.243605282,0,192,#f6ebcf,0xf6ebcf
sarcasm_only,-0.149987383,-0.021857809,-1.711623247,Factor4,12.98049428,1.718321309,6.256665088,0,148,#f6ebcf,0xf6ebcf
joelle_fletcher,-1.59882682,-1.769738749,0.025384019,Factor3,13.69754159,2.385134543,5.627905612,0,148,#f6ebcf,0xf6ebcf
kaitlynbristowe,-1.691586591,-2.095068279,0.080489219,Factor3,14.27995599,2.693929249,3.441983453,0,123,#f6ebcf,0xf6ebcf
jessiejamesdecker,-0.905655739,-1.312863539,-0.327694095,Factor3,13.11751735,1.628252563,17.26605317,0,152,#f6ebcf,0xf6ebcf
oamato,0.335828693,-0.139097415,-0.765176846,Factor8,15.61442124,0.847127267,21.21537184,0,171,#392c2c,0x392c2c
vanessabryant,0.603828776,-0.764931038,-0.031380129,Factor5,12.82950718,0.97504533,29.941747,0,206,#f6ebcf,0xf6ebcf
pink,-0.636205903,1.155821423,1.119196742,Factor2,13.20704404,1.730110535,27.06432704,0,143,#f6ebcf,0xf6ebcf
potterybarn,-0.295952175,-1.710228516,-0.27082126,Factor3,13.97285197,1.756648349,32.08461577,0,140,#f6ebcf,0xf6ebcf
magnolia,-2.789687689,-2.759336551,0.584985948,Factor3,15.77024879,3.967178363,7.303070132,0,232,#f6ebcf,0xf6ebcf
ayeshacurry,1.169083434,-2.055046503,0.576978133,Factor5,14.80436633,2.433695949,25.32305703,0,135,#f6ebcf,0xf6ebcf
enews,0.641202817,-0.93987546,-0.400809723,Factor1,13.487443,1.206298208,47.83682624,0,295,#f6ebcf,0xf6ebcf
zooeydeschanel,-1.418523174,0.950440031,0.861358073,Factor2,13.41875662,1.912454438,1.105909732,0,126,#f6ebcf,0xf6ebcf
archdigest,0.958269485,0.819859966,-0.601232713,Factor6,13.71754472,1.397115437,20.87428325,0,155,#f6ebcf,0xf6ebcf
hannahbrown,-1.191422661,-1.99558294,-0.001111037,Factor3,13.40616922,2.324185979,9.459776185,0,155,#f6ebcf,0xf6ebcf
celestebarber,-0.637145695,0.723172371,-0.001102943,Factor2,11.55416379,0.963812291,29.44534733,0,156,#f6ebcf,0xf6ebcf
courteneycoxofficial,-1.506698675,0.825949347,0.818637546,Factor2,13.50764612,1.903286803,4.564369215,0,122,#f6ebcf,0xf6ebcf
reesesbookclub,-1.246371659,-0.908553975,0.374602273,Factor3,13.00536347,1.587211234,17.17535673,0,179,#f6ebcf,0xf6ebcf
prattprattpratt,-3.135120112,1.651355847,0.844479784,Factor2,16.54864636,3.642677636,13.49753784,0,283,#f6ebcf,0xf6ebcf
chipgaines,-3.184479288,-1.920551848,0.928237219,Factor3,14.49661406,3.832890824,21.72528862,0,195,#f6ebcf,0xf6ebcf
skinnytaste,-0.947149982,-1.521601923,-0.240239941,Factor3,13.10259241,1.808336453,14.50407256,0,157,#f6ebcf,0xf6ebcf
dudewithsign,-0.305171836,0.174701347,-1.421418838,Factor4,12.71859077,1.464268391,8.348296966,0,190,#f6ebcf,0xf6ebcf
adele,-0.157963308,0.803628093,1.041410108,Factor2,12.39022934,1.32487944,42.79581575,0,263,#f6ebcf,0xf6ebcf
_theblessedone,-0.341619806,0.537005488,-3.1529961,Factor4,15.67212012,3.216591891,4.789615236,0,171,#f6ebcf,0xf6ebcf
karamo,0.575148575,2.710763077,1.890859407,Factor9,17.91797174,3.35475508,2.595406033,0,125,#f6ebcf,0xf6ebcf
whitepeoplehumor,-0.164369176,0.506263257,-2.788967522,Factor4,15.01368028,2.839306174,4.874453226,0,135,#f6ebcf,0xf6ebcf
sarahjessicaparker,0.155855675,2.19367272,0.33411547,Factor7,13.32591497,2.224437938,28.97874767,0,154,#f6ebcf,0xf6ebcf
Factor1,1.764833672,-0.909730361,0.702066565,Factor1,20,2.105978319,0,1,550,#f6ebcf,0xf6ebcf
Factor2,-2.049599796,1.371403495,1.184917082,Factor2,20,2.735988918,0,1,795,#f6ebcf,0xf6ebcf
Factor3,-1.503785286,-1.872619349,0.216489759,Factor3,20,2.411418924,0,1,407,#f6ebcf,0xf6ebcf
Factor4,-0.185534283,0.262460027,-2.760464628,Factor4,20,2.779113744,0,1,286,#f6ebcf,0xf6ebcf
Factor5,1.351588742,-0.973292561,0.733350387,Factor5,20,1.819860799,0,1,190,#f6ebcf,0xf6ebcf
Factor6,1.211772753,1.121619326,-0.136489901,Factor6,20,1.65682003,0,1,42,#f6ebcf,0xf6ebcf
Factor7,0.887534287,1.447845462,-0.027944703,Factor7,20,1.698456504,0,1,30,#f6ebcf,0xf6ebcf
Factor8,0.233259514,-0.142371098,-0.263634401,Factor8,20,0.379713876,0,1,44,#392c2c,0x392c2c
Factor9,0.303191621,1.166158414,0.868995365,Factor9,20,1.485598717,0,1,42,#f6ebcf,0xf6ebcf
